Latin Genus,Latin Species
acer,negundo
acer,rubrum
acer,saccharum
aesculus,flava
ailanthus,altissima
albizia,julibrissin
alnus,serrulata
amelanchier,arborea
asimina,triloba
calycanthus,floridus
carpinus,caroliniana
carya,cordiformis
carya,glabra
carya,ovalis
carya,ovata
carya,tomentosa
celtis,occidentalis
cercis,canadensis
cornus,florida
diospyros,virginiana
elaeagnus,umbellata
fagus,grandifolia
fraxinus,sp.
gleditsia,triacanthos
juglans,nigra
juniperus,virginiana
liquidambar,styraciflua
liriodendron,tulipifera
maclura,pomifera
magnolia,acuminata
magnolia,tripetala
morus,rubra
nyssa,sylvatica
ostrya,virginiana
oxydendrum,arboreum
paulownia,tomentosa
pinus,echinata
pinus,strobus
pinus,taeda
pinus,virginiana
platanus,occidentalis
prunus,serotina
pyrus,calleryana
pyrus,malus
quercus,alba
quercus,coccinea
quercus,falcata
quercus,michauxii
quercus,montana
quercus,muehlenbergii
quercus,rubra
quercus,shumardii
quercus,stellata
quercus,velutina
rhamnus,caroliniana
rhus,copallina
robinia,pseudoacacia
salix,nigra
sassafras,albidum
tilia,americana
tsuga,canadensis
ulmus,alata
ulmus,americana
ulmus,rubra
viburnum,rufidulum
